ProjectID,Project Name,Address,Street Number,Street Name,Neighborhood,Project Stage,Year Complete,Developer Name,Zoning,Planning Board Special Permit,Building Permit,Total GFA,Lot Area,FAR,Primary Use,Residential Units,Hotel Rooms,Note
268,,320 Bent Street,320,Bent Street,East Cambridge,Complete,2000,Rogers St. LLC c/o Lyme Properties,IA-1/IB-1,PB174,,195966,,3.00,Office/R&D,0,,
24,,301 Binney Street,301,Binney Street,East Cambridge,Complete,2007,Biomed Realty Trust,IA-1/IB-1,PB174,,268779,165110,3.00,Office/R&D,0,,
28,JAS Housing,68 Bolton Street,68,Bolton Street,Neighborhood 9,Complete,2005,Just-A-Start Corp.,B,,,0,0,0.00,Residential,6,,
240,Main Library Expansion,449 Broadway,449,Broadway,Mid-Cambridge,Complete,2010,City of Cambridge,C-3/OS,,,102210,513809,1.50,Government,0,,
252,,21 Brookline Street,21,Brookline Street,Cambridgeport,Complete,2008,1st Cambridge Real Estate,C-1/C-2A/CSOD,PB202,,40755,18256,2.00,Residential,49,,
25,JAS Housing/Nobrega's,1167 Cambridge Street,1167,Cambridge Street,Wellington Harrington,Complete,2002,Just-A-Start Corp.,,,,13500,0,0.00,Residential,8,,
619,,140 Cambridgepark Drive,140,Cambridgepark Drive,North Cambridge,Complete,2015,The Hanover Company,O-2A/AOD-6,PB279,BLDC-022767-2015,0,125089,,Parking Garage,0,,"456 pkg spaces, 360 replacements at 150 Cambridgepark Dr, 29 for 130 Cambridgepark Dr, 67 shared between bldgs. Bldg has no habitable space & no GFA."
459,,200 Cambridgepark Drive,200,Cambridgepark Drive,North Cambridge,Complete,2001,Spaulding and Slye,O-2/PUD-5,N/A,698005,285500,0,0.00,Office/R&D,0,,
340,Rounder Record Site/2419 Massachusetts Avenue,7 Cameron Avenue,7,Cameron Avenue,North Cambridge,Complete,2013,Oaktree Acorn LLC,BA-2,PB239,810310-015541,49993,25997,1.75,Residential,37,,
267,,773 Concord Avenue,773,Concord Avenue,Cambridge Highlands,Complete,2006,VRL Realty Trust,C-2,N/A,,31359,17896,0.00,Residential,25,,
227,Cambridge Research Park,650 East Kendall Street,650,East Kendall Street,East Cambridge,Complete,2010,Biomed Realty Trust,O-3/PUD-3,PB141,,217398,49470,3.00,Office/R&D,0,,Parking in provided in Cambridge Research Park pooled facility.
462,,98-100 Erie Street,98-100,Erie Street,Cambridgeport,Complete,2001,University Realty LLC,,PB142,899118,26602,17900,0.00,Residential,16,,
9,Kendall Sq. Electric Plant,273 First Street,273,First Street,East Cambridge,Complete,2008,Mirant New England,O-3A,,,11800,168162,0.00,Utilities,0,,
37,Oaktree Housing,369 Franklin Street,369,Franklin Street,Riverside,Complete,2004,Oaktree Green,C-2,,,21500,0,0.00,Residential,18,,
465,,1 Kendall Square,1,Kendall Square,Wellington Harrington,Complete,2001,Amgen Inc.,IB,N/A,792350,285000,0,4.00,Office/R&D,0,,
232,Watermark 2/Cambridge Research Park,250 Kendall Street,250,Kendall Street,East Cambridge,Complete,2013,Twining Properties,O-3/PUD-3,PB141,412055-030080,148949,48106,3.00,Residential,144,,144 parking spaces allocated from Cambridge Research Park 350 Third Street parking garage.
233,Cambridge Research Park,350 Kendall Street,350,Kendall Street,East Cambridge,Complete,2002,Lyme Properties,O-3/PUD-3,PB141,,2000,425319,3.00,Parking Garage,0,,Underground garage provides parking for all Cambridge Research Park buildings.
229,Genzyme Building/Cambridge Research Park,500 Kendall Street,500,Kendall Street,East Cambridge,Complete,2003,Lyme Properties,O-3/PUD-3,PB141,,275513,0,3.00,Office/R&D,0,,Parking in provided in Cambridge Research Park pooled facility.
4,Millenium Pharmaceuticals,35 Landsdowne Street,35,Landsdowne Street,Cambridgeport,Complete,2002,Forest City Development,CRDD,PB152,,221561,0,0.00,Office/R&D,0,,
284,VFW Housing,2101-2103 Massachusetts Avenue,2101-2103,Massachusetts Avenue,North Cambridge,Complete,2007,CASCAP,B,N/A,,7800,6316,0.00,Residential,9,,
263,Trolley Square,2377-2399 Massachusetts Avenue,2377-2399,Massachusetts Avenue,North Cambridge,Complete,2006,HRI,BA-2,N/A,,55854,37645,0.00,Residential,40,,
279,,2440 Massachusetts Avenue,2440,Massachusetts Avenue,North Cambridge,Complete,2007,Cambridge Point Realty Trust,BA-2/SD-2,N/A,,40000,25000,1.75,Residential,41,,
287,,2495 Massachusetts Avenue,2495,Massachusetts Avenue,North Cambridge,Complete,2006,Just A Start,B/BA-2,N/A,,18425,29565,0.00,Residential,14,,
13,Hotel,187-199 Msgr. O'Brien Highway,187-199,Msgr. O'Brien Highway,East Cambridge,Complete,2002,Natraj Realty Trust,SD-1,,,51919,17330,3.00,Hotel,0,114,
32,,265 Rindge Avenue,265,Rindge Avenue,North Cambridge,Complete,2003,Shelter Inc.,B,,,5794,0,0.00,Residential,10,,
264,Alewife Brook Condos II,390 Rindge Avenue,390,Rindge Avenue,North Cambridge,Complete,2006,JAS,C-1A/C-2,N/A,,10662,8448,0.00,Residential,8,,
266,,1 Russell Street,1,Russell Street,North Cambridge,Complete,2007,Quadrant Real Estate,BA-2/B,N/A,,32023,22536,0.00,Residential,32,,
270,,157 Sixth Street,157,Sixth Street,East Cambridge,Complete,2004,Rogers St. LLC c/o Lyme Properties,IA-1/IB-1,PB174,,41349,0,3.00,Residential,37,,
261,Watermark 1/Cambridge Research Park,350 Third Street,350,Third Street,East Cambridge,Complete,2006,Twining Properties,O-3/PUD-3,PB141,,357000,48106,3.00,Residential,321,,
49,Parking Garage,47 Bishop Allen Drive,47,Bishop Allen Drive,The Port/Area IV,Complete,2004,Fennel RE Trust,,,,11036,11036,3.00,Parking Garage,0,,
226,Vertex Building/Cambridge Research Park,675 West Kendall Street,675,West Kendall Street,East Cambridge,Complete,2004,Lyme Properties,O-3/PUD-3,PB141,,245226,0,0.00,Office/R&D,0,,Parking in provided in Cambridge Research Park pooled facility.
285,Baker Building,37 Wheeler Street,37,Wheeler Street,Cambridge Highlands,Complete,2008,World 114 Nomine Trust,BC,N/A,,57500,52800,0.00,Residential,72,,
344,188 Prospect Street; Prospect Court Phase 3/4,17-19 Tremont Street,17-19,Tremont Street,The Port/Area IV,Complete,2010,Prospect Street Housing Trust,C-1,N/A,507102,20422,31498,0.93,Residential,15,,
316,St. John's Resident Phase 2,124 Rindge Avenue,124,Rindge Avenue,North Cambridge,Complete,2014,120 Realty Trust,B,PB203,1212050-039665,21189,100068,0.76,Residential,16,,"FAR based on Phases 1A, 1B, and 2. Project incldues 97 parking spaces for 63 units across all project phases. Parking in Phase 1A."
397,Harvard Fogg Museum Addition,32 Quincy Street,32,Quincy Street,Mid-Cambridge,Complete,2014,Harvard College,C-3,N/A,1210153-038829,204000,184924,2.08,Museum,0,,FAR based on entire parcel and includes several existing buildings. Parking allocate from Harvard University pool.
471,,241 River Street,241,River Street,Riverside,Complete,2001,River Street Trust,C-2,N/A,1298160,23165,25160,1.12,Residential,20,,
45,,1979 Massachusetts Avenue,1979,Massachusetts Avenue,North Cambridge,Complete,2008,Sam Azzam,BC/B,,,13900,5832,2.40,Residential,15,,
34,CAST Housing,55-99 Columbia Street,55-99,Columbia Street,The Port/Area IV,Complete,2003,Homeowner's Rehab.,C-1,,,0,0,0.00,Residential,42,,
373,Binney St. Alexandria Master Plan,270 Third Street,270,Third Street,East Cambridge,Complete,2015,Alexandria Real Estate,IA-1/PUD-4B,PB243,BLDM-020260-2014,91122,17435,4.47,Residential,91,,Parking allocated from 75-125 Binney Street garage.
628,Phase 1,165 Cambridgepark Drive,165,Cambridgepark Drive,North Cambridge,Complete,2015,Hines Interests Limited,O-2A/AOD-6,PB275,BLDM-009426-2013,168000,119274,2.35,Residential,149,,FAR for all project phases.
39,Polaroid-Housing,157-179 Pleasant Street,157-179,Pleasant Street,Cambridgeport,Complete,2003,Harvard Planning & Real Estate,O-3,PB161,,160000,93171,1.70,Residential,120,,
318,MIT Cancer Research Center,500 Main Street,500,Main Street,MIT / Area 2,Complete,2011,MIT,C-3B,PB232,608243-026682,308756,2012983,2.01,Office/R&D,0,,171 parking spaces allocated from existing MIT parking pool.
29,Novartis,254 Massachusetts Avenue,254,Massachusetts Avenue,Cambridgeport,Complete,2004,DSF Real Estate Investors,SD-7,PB173,,484072,143522,3.26,Office/R&D,0,,
272,,110 Second Street,110,Second Street,East Cambridge,Complete,2007,"Charles Passage, LLC",IA-1,N/A,,37729,19995,1.95,Residential,29,,
358,North Cambridge Catholic HS Site,40 Norris Street,40,Norris Street,North Cambridge,Complete,2014,Lacourt Family LLC,B,PB252,1112152-037888,45578,25700,1.80,Residential,25,,
341,,625 Putnam Avenue,625,Putnam Avenue,Cambridgeport,Complete,2012,"Homeowners Rehab, Inc.",SD-8A/C-1,PB240,1210065-039725,44303,27970,1.88,Residential,40,,
283,Blessed Sacrament Phase 1,20 Cpl. McTernan Street,20,Cpl. McTernan Street,Cambridgeport,Complete,2008,Pearl St. LLC,C,PB211,,42059,30174,2.90,Residential,23,,
306,Youth Center/VFW,688 Huron Avenue,688,Huron Avenue,Strawberry Hill,Complete,2009,City of Cambridge,C-3,N/A,207121,31000,28592,1.08,Community Center,0,,
245,,60 Aberdeen Avenue,60,Aberdeen Avenue,West Cambridge,Complete,2005,"Prospectus, LLC",C-1/MXR,N/A,309148-011420,63658,65290,0.75,Residential,55,,
281,,95 Harvey Street,95,Harvey Street,North Cambridge,Complete,2010,Michael O'Shea,SD-2,PB208,,13739,8514,1.61,Residential,8,,
276,,18-24 Bay State Road,18-24,Bay State Road,Neighborhood 9,Complete,2007,"Bay State Loft, LLC",IA-1,N/A,,24000,12443,1.95,Residential,23,,
389,Maple Leaf Building,10 Glassworks Avenue,10,Glassworks Avenue,East Cambridge,Complete,2014,Archstone Development,NP/PUD-6,PB175,1112137-020645,63210,247431,3.77,Residential,104,,Parking located in existing Avalon Bay / Archstone Phase I garage.
334,,22 Water Street,22,Water Street,East Cambridge,Complete,2015,Catamount Holdings LLC,NP/PUD-6,PB247,BLDC-002865-2013,408225,104673,4.62,Residential,392,,
50,Parking Garage,52 Oxford Street,52,Oxford Street,Agassiz,Complete,2005,Harvard University,C-3,,,328701,1111380,1.68,Parking Garage,0,,
